2009 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	rehab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	43.0	77.0	5.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	1.0
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	prevention	2.0	50.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.0
	progressive	7.0	71.0	5.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	1.0
	rare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	75.0	63.0	6.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	1.0
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	1.0	100.0	5.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	1.0	100.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	prevention	1.0	100.0	18.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
	progressive	7.0	71.0	6.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	1.0
	rare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	3.0	100.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2014 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	69.0	70.0	6.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	1.56
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	1.0	100.0	7.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	1.0	100.0	3.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	prevention	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
	progressive	11.0	64.0	6.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	1.22
	rare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	7.0	86.0	4.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	2.25
	vaccines	1.0	100.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
2015 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	81.0	53.0	7.7	0.0	0.0	2.0	15.0	2.0	7.0	2.0	3.6	2.0	0.68	85.0	1.71
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	2.0	50.0	4.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	2.0
	pediatric	1.0	100.0	9.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0
	prevention	1.0	100.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	3.0
	progressive	11.0	36.0	10.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	2.0
	rare	2.0	50.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	10.0	50.0	5.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	1.88
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	93.0	65.0	5.56	78.0	12.51	83.0	28.91	83.0	14.84	82.0	6.31	82.0	1.91	71.0	1.74
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	2.0	50.0	9.42	100.0	238.0	100.0	103.0	100.0	65.5	100.0	19.09	100.0	5.18	50.0	2.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	5.0	40.0	3.74	100.0	3.6	100.0	29.4	100.0	15.6	100.0	8.04	100.0	2.42	80.0	2.0
	pediatric	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0
	prevention	4.0	25.0	8.32	100.0	18.5	100.0	47.25	100.0	29.5	100.0	11.29	100.0	2.7	75.0	2.0
	progressive	13.0	62.0	5.53	92.0	8.0	100.0	33.31	100.0	15.62	100.0	7.59	100.0	2.05	77.0	1.4
	rare	2.0	50.0	2.47	100.0	3.0	100.0	30.0	100.0	13.5	100.0	6.92	100.0	2.54	100.0	2.5
	rehab	10.0	80.0	5.63	80.0	3.25	80.0	21.88	80.0	10.38	80.0	4.52	70.0	1.52	50.0	2.4
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2017 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	74.0	58.0	4.87	85.0	11.13	99.0	23.21	99.0	15.44	99.0	6.54	97.0	1.76	68.0	1.6
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	1.0	0.0	0.0	100.0	1.0	100.0	20.0	100.0	14.0	100.0	5.95	100.0	1.28	100.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	3.0	100.0	3.07	67.0	7.5	100.0	18.67	100.0	14.0	100.0	7.77	100.0	2.27	33.0	1.0
	pediatric	2.0	50.0	9.91	100.0	4.0	100.0	6.5	100.0	4.5	100.0	1.5	100.0	0.44	0.0	0.0
	prevention	1.0	100.0	3.59	100.0	1.0	100.0	8.0	100.0	6.0	100.0	1.88	100.0	0.58	0.0	0.0
	progressive	12.0	50.0	4.21	83.0	12.9	100.0	33.5	100.0	23.75	100.0	10.86	92.0	2.82	75.0	2.22
	rare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	9.0	56.0	4.0	89.0	3.0	100.0	10.56	100.0	7.22	100.0	3.05	100.0	0.96	67.0	1.83
	vaccines	1.0	100.0	7.56	100.0	2.0	100.0	13.0	100.0	11.0	100.0	2.43	100.0	0.97	0.0	0.0
2018 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	67.0	58.0	7.61	90.0	25.95	100.0	27.78	100.0	24.46	97.0	9.32	99.0	2.87	66.0	1.95
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	1.0	100.0	27.29	100.0	636.0	100.0	110.0	100.0	109.0	100.0	27.29	100.0	8.38	100.0	2.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	2.0	50.0	9.91	100.0	8.0	100.0	18.0	100.0	15.0	100.0	7.09	100.0	3.0	50.0	1.0
	pediatric	4.0	100.0	6.55	100.0	1.5	100.0	19.75	100.0	18.0	100.0	4.36	100.0	1.62	75.0	3.0
	prevention	1.0	100.0	7.49	100.0	13.0	100.0	17.0	100.0	17.0	100.0	4.22	100.0	1.58	0.0	0.0
	progressive	12.0	50.0	7.85	75.0	18.56	100.0	28.0	100.0	24.25	100.0	9.19	100.0	2.81	50.0	2.17
	rare	2.0	0.0	0.0	100.0	5.0	100.0	12.0	100.0	11.0	100.0	5.7	100.0	1.93	50.0	2.0
	rehab	7.0	57.0	3.87	86.0	18.0	100.0	18.57	100.0	16.43	100.0	7.5	100.0	2.66	100.0	2.71
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2019 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	78.0	73.0	6.42	86.0	12.01	100.0	22.69	100.0	20.14	99.0	7.14	100.0	2.18	46.0	1.53
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	1.0	100.0	4.0	100.0	26.0	100.0	10.0	100.0	10.0	100.0	4.49	100.0	1.45	0.0	0.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	8.0	75.0	4.22	75.0	6.0	100.0	13.5	100.0	12.75	100.0	5.28	100.0	1.5	50.0	1.25
	pediatric	4.0	100.0	5.98	75.0	5.0	100.0	16.0	100.0	14.5	100.0	5.65	100.0	1.64	50.0	1.5
	prevention	1.0	100.0	3.03	100.0	7.0	100.0	4.0	100.0	2.0	100.0	1.54	100.0	0.78	100.0	2.0
	progressive	9.0	67.0	5.88	100.0	6.11	100.0	14.33	100.0	9.44	100.0	4.83	100.0	1.47	56.0	1.2
	rare	1.0	100.0	4.38	100.0	1.0	100.0	2.0	100.0	2.0	100.0	0.57	100.0	0.16	0.0	0.0
	rehab	18.0	61.0	5.87	83.0	7.0	100.0	24.56	100.0	21.33	100.0	8.77	100.0	2.92	56.0	1.9
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	102.0	73.0	5.65	92.0	8.41	100.0	10.68	100.0	10.48	99.0	5.19	93.0	1.95	44.0	1.6
	covid	2.0	50.0	7.56	100.0	47.0	100.0	82.5	100.0	82.5	100.0	50.94	100.0	12.68	50.0	1.0
	diet	1.0	0.0	0.0	100.0	9.0	100.0	5.0	100.0	5.0	100.0	1.76	100.0	1.37	100.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	11.0	73.0	3.61	100.0	7.36	100.0	4.27	100.0	4.27	100.0	2.83	82.0	1.42	64.0	1.57
	pediatric	1.0	100.0	4.34	100.0	1.0	100.0	3.0	100.0	3.0	100.0	1.54	100.0	0.5	0.0	0.0
	prevention	1.0	100.0	7.8	100.0	14.0	100.0	9.0	100.0	9.0	100.0	4.63	100.0	1.15	0.0	0.0
	progressive	14.0	79.0	7.08	86.0	7.83	100.0	14.64	100.0	14.5	100.0	6.75	100.0	2.33	50.0	1.71
	rare	1.0	0.0	0.0	100.0	1.0	100.0	0.0	100.0	0.0	100.0	0.0	0.0	0.0	100.0	2.0
	rehab	19.0	84.0	4.68	89.0	7.82	100.0	5.58	100.0	5.42	100.0	2.6	89.0	1.39	63.0	2.08
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021 	 fism	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	113.0	71.0	6.76	97.0	20.7	100.0	7.12	100.0	7.12	22.0	4.1	6.0	6.24	30.0	1.06
	covid	10.0	80.0	6.28	100.0	29.6	100.0	38.2	100.0	38.2	40.0	14.39	40.0	9.17	40.0	1.0
	diet	1.0	0.0	0.0	100.0	52.0	100.0	8.0	100.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	6.0	50.0	5.09	100.0	13.0	100.0	1.67	100.0	1.67	17.0	2.87	0.0	0.0	50.0	1.0
	pediatric	3.0	67.0	14.11	100.0	33.0	100.0	3.33	100.0	3.33	33.0	1.96	0.0	0.0	33.0	1.0
	prevention	1.0	100.0	15.83	100.0	7.0	100.0	1.0	100.0	1.0	0.0	0.0	0.0	0.0	100.0	1.0
	progressive	13.0	54.0	5.5	100.0	16.38	100.0	3.46	100.0	3.46	31.0	2.38	8.0	1.94	23.0	1.0
	rare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	16.0	75.0	5.67	100.0	27.69	100.0	3.19	100.0	3.19	13.0	0.86	0.0	0.0	63.0	1.1
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
