2009 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	exercise	63.0	62.0	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	1.0
	pediatric	77.0	61.0	5.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.03
	personalized_medicine	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	1.0
	prevention	125.0	59.0	4.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	1.0
	progressive	336.0	53.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	1.01
	rare	55.0	56.0	4.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	1.0
	rehab	86.0	62.0	3.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	1.02
	symptoms	186.0	50.0	4.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	1.0
	vaccines	13.0	62.0	10.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	1.0
2011 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	3288.0	55.0	5.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.0
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	2.0	50.0	5.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	41.0	59.0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	84.0	44.0	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.0
	pediatric	74.0	58.0	5.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	1.0
	personalized_medicine	4.0	75.0	4.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	1.0
	prevention	155.0	65.0	5.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.0
	progressive	387.0	57.0	5.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	1.0
	rare	73.0	48.0	4.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	1.0
	rehab	87.0	53.0	3.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	1.0
	symptoms	171.0	54.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	1.0
	vaccines	6.0	83.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	1.0
2012 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	3538.0	57.0	5.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	1.01
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	46.0	43.0	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	113.0	62.0	3.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1.0
	pediatric	74.0	46.0	5.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.06
	personalized_medicine	8.0	88.0	5.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	1.0
	prevention	142.0	58.0	5.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	1.0
	progressive	392.0	53.0	5.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	1.01
	rare	72.0	57.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	1.0
	rehab	110.0	66.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	1.0
	symptoms	215.0	56.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	1.0
	vaccines	11.0	82.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	1.0
2013 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	4014.0	58.0	5.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.02
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	4.0	100.0	6.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	1.0
	diet	70.0	53.0	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	133.0	64.0	3.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	1.0
	pediatric	110.0	60.0	4.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	1.1
	personalized_medicine	10.0	80.0	4.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	1.0
	prevention	183.0	58.0	5.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.01
	progressive	409.0	56.0	4.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	1.02
	rare	74.0	50.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	1.03
	rehab	137.0	64.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	1.03
	symptoms	199.0	57.0	4.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	1.0
	vaccines	9.0	89.0	6.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	1.0
2014 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	4256.0	58.0	5.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1.24
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	7.0	29.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	1.0
	diet	64.0	50.0	4.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	1.32
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	160.0	63.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	1.23
	pediatric	131.0	66.0	6.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	1.36
	personalized_medicine	10.0	90.0	3.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	1.0
	prevention	171.0	55.0	6.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	1.24
	progressive	446.0	62.0	5.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	1.25
	rare	81.0	48.0	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	1.2
	rehab	177.0	61.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	1.38
	symptoms	236.0	66.0	4.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	1.3
	vaccines	21.0	71.0	7.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	1.18
2015 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	4420.0	60.0	5.44	0.0	0.0	0.0	15.0	0.0	7.0	0.0	3.6	0.0	0.68	55.0	1.34
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	8.0	25.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.75
	diet	73.0	64.0	6.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.33
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	155.0	69.0	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	1.22
	pediatric	164.0	61.0	6.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	1.46
	personalized_medicine	21.0	57.0	5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	1.25
	prevention	160.0	66.0	5.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.27
	progressive	474.0	61.0	5.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	1.37
	rare	80.0	49.0	4.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	1.36
	rehab	209.0	54.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1.42
	symptoms	227.0	59.0	4.96	0.0	0.0	0.0	19.0	0.0	6.0	0.0	3.34	0.0	0.86	56.0	1.38
	vaccines	20.0	65.0	11.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	1.33
2016 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	4534.0	60.0	5.4	74.0	13.0	81.0	22.78	81.0	11.89	78.0	5.39	80.0	1.48	59.0	1.4
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	26.0	77.0	3.53	69.0	8.72	77.0	17.15	77.0	9.0	73.0	4.65	77.0	1.13	81.0	1.52
	diet	93.0	59.0	7.13	68.0	33.62	71.0	33.33	71.0	18.3	69.0	8.42	71.0	2.0	51.0	1.47
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	172.0	66.0	3.5	77.0	12.39	84.0	21.11	84.0	11.82	84.0	5.89	83.0	1.82	56.0	1.32
	pediatric	208.0	62.0	6.48	71.0	17.83	78.0	29.79	78.0	15.62	77.0	6.71	77.0	1.77	66.0	1.46
	personalized_medicine	21.0	57.0	4.71	81.0	11.88	81.0	29.35	81.0	16.29	81.0	7.72	81.0	1.89	71.0	1.33
	prevention	112.0	61.0	5.33	79.0	11.49	81.0	30.12	81.0	16.33	81.0	7.38	80.0	1.79	59.0	1.47
	progressive	482.0	62.0	5.44	78.0	16.72	84.0	24.64	84.0	12.69	82.0	5.98	82.0	1.57	61.0	1.4
	rare	84.0	51.0	6.27	70.0	6.95	81.0	17.15	81.0	8.79	80.0	4.21	81.0	1.14	55.0	1.46
	rehab	209.0	57.0	3.93	78.0	11.37	84.0	16.15	84.0	8.43	82.0	4.23	83.0	1.27	56.0	1.64
	symptoms	268.0	56.0	4.51	76.0	8.61	82.0	19.54	82.0	10.03	80.0	4.76	81.0	1.42	63.0	1.4
	vaccines	8.0	63.0	7.91	50.0	146.25	50.0	25.25	50.0	12.25	50.0	4.29	50.0	1.39	50.0	1.5
2017 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	4580.0	62.0	5.04	80.0	13.53	96.0	19.52	96.0	13.49	93.0	5.57	94.0	1.54	61.0	1.39
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	15.0	73.0	3.51	73.0	7.18	87.0	23.54	87.0	16.46	80.0	6.14	87.0	1.87	100.0	1.53
	diet	102.0	61.0	5.52	83.0	35.73	93.0	23.92	93.0	16.17	92.0	6.69	92.0	1.83	66.0	1.57
	digital	2.0	0.0	0.0	100.0	9.0	100.0	18.0	100.0	10.0	100.0	6.17	100.0	1.88	50.0	1.0
	exercise	180.0	71.0	3.22	82.0	12.26	98.0	17.44	98.0	12.38	97.0	6.03	98.0	1.87	59.0	1.23
	pediatric	160.0	62.0	6.09	84.0	17.63	97.0	31.46	97.0	22.34	94.0	9.2	96.0	2.25	60.0	1.64
	personalized_medicine	24.0	54.0	6.06	79.0	86.05	100.0	37.54	100.0	25.29	100.0	10.23	96.0	2.68	58.0	1.71
	prevention	127.0	67.0	4.69	82.0	12.41	92.0	27.14	92.0	19.12	92.0	7.67	91.0	2.18	55.0	1.33
	progressive	482.0	63.0	4.99	88.0	14.23	99.0	24.43	99.0	16.2	98.0	7.09	97.0	1.85	63.0	1.41
	rare	77.0	64.0	4.9	75.0	6.52	94.0	12.38	94.0	8.99	92.0	3.57	94.0	0.9	48.0	1.27
	rehab	223.0	66.0	3.64	80.0	7.51	96.0	16.65	96.0	11.81	93.0	5.16	95.0	1.52	67.0	1.56
	symptoms	275.0	59.0	4.36	83.0	11.55	96.0	17.78	96.0	12.28	95.0	5.44	94.0	1.6	64.0	1.39
	vaccines	17.0	71.0	4.62	82.0	9.21	94.0	19.75	94.0	13.69	82.0	5.75	94.0	1.34	41.0	1.57
2018 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	4667.0	62.0	5.29	80.0	13.92	97.0	14.66	97.0	12.92	95.0	5.21	95.0	1.65	60.0	1.42
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	25.0	80.0	3.77	84.0	7.71	96.0	6.5	96.0	5.92	96.0	2.51	92.0	0.87	72.0	1.78
	diet	135.0	62.0	5.26	87.0	27.09	97.0	16.5	97.0	14.34	95.0	5.8	96.0	1.86	55.0	1.41
	digital	4.0	75.0	5.07	100.0	38.5	100.0	26.5	100.0	24.25	100.0	12.58	100.0	3.6	100.0	1.25
	exercise	197.0	66.0	3.8	81.0	15.86	97.0	10.52	97.0	9.06	96.0	4.42	95.0	1.69	61.0	1.31
	pediatric	192.0	65.0	6.32	81.0	23.07	99.0	17.13	99.0	14.93	97.0	6.58	95.0	1.8	66.0	1.62
	personalized_medicine	23.0	65.0	6.41	91.0	18.0	100.0	46.04	100.0	41.83	91.0	17.01	100.0	4.82	70.0	1.5
	prevention	110.0	70.0	6.48	80.0	21.91	95.0	14.73	95.0	13.09	93.0	5.44	92.0	1.61	59.0	1.43
	progressive	554.0	65.0	5.32	84.0	12.78	98.0	17.39	98.0	15.24	97.0	6.34	96.0	1.88	62.0	1.46
	rare	122.0	53.0	5.63	71.0	14.46	97.0	14.42	97.0	12.64	97.0	5.01	93.0	1.67	54.0	1.61
	rehab	239.0	63.0	3.73	75.0	12.93	97.0	11.14	97.0	9.83	95.0	4.69	97.0	1.59	65.0	1.6
	symptoms	245.0	61.0	4.34	83.0	15.62	97.0	12.79	97.0	11.13	97.0	4.89	95.0	1.65	58.0	1.42
	vaccines	16.0	63.0	5.35	88.0	20.5	100.0	12.94	100.0	11.63	94.0	3.53	100.0	1.36	63.0	1.0
2019 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	5100.0	65.0	5.53	80.0	15.49	98.0	16.37	98.0	14.55	95.0	5.66	89.0	1.76	30.0	1.27
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	31.0	90.0	3.65	87.0	25.44	100.0	12.13	100.0	10.74	100.0	4.54	100.0	1.34	35.0	1.55
	diet	168.0	70.0	5.95	88.0	36.2	99.0	23.1	99.0	21.46	97.0	8.53	94.0	2.26	34.0	1.21
	digital	8.0	50.0	5.17	88.0	6.29	100.0	19.75	100.0	17.88	100.0	7.93	88.0	2.83	25.0	1.5
	exercise	196.0	67.0	3.66	81.0	8.98	99.0	11.98	99.0	10.69	98.0	5.06	94.0	1.79	31.0	1.21
	pediatric	211.0	66.0	6.45	86.0	21.88	100.0	15.88	100.0	14.19	98.0	5.62	96.0	1.55	31.0	1.31
	personalized_medicine	34.0	62.0	7.18	79.0	16.56	97.0	19.33	97.0	16.97	97.0	6.31	88.0	1.97	32.0	1.73
	prevention	143.0	71.0	4.86	88.0	16.27	99.0	25.43	99.0	23.13	99.0	9.33	97.0	2.64	25.0	1.47
	progressive	583.0	67.0	5.87	84.0	21.56	99.0	19.08	99.0	16.59	97.0	6.76	94.0	1.93	37.0	1.35
	rare	109.0	64.0	4.67	71.0	12.32	99.0	18.66	99.0	16.73	98.0	6.45	83.0	2.08	22.0	1.46
	rehab	239.0	59.0	3.93	79.0	7.89	99.0	10.53	99.0	9.32	99.0	3.9	89.0	1.56	35.0	1.28
	symptoms	269.0	65.0	4.5	87.0	26.9	99.0	16.06	99.0	14.26	98.0	5.87	91.0	1.95	25.0	1.31
	vaccines	16.0	56.0	4.86	63.0	9.8	100.0	16.5	100.0	14.81	100.0	4.85	88.0	1.66	19.0	1.33
2020 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	5746.0	66.0	5.08	87.0	12.56	99.0	9.16	99.0	9.09	96.0	4.61	83.0	1.82	21.0	1.18
	covid	211.0	65.0	4.58	94.0	34.61	99.0	31.47	99.0	31.47	91.0	18.83	94.0	5.13	18.0	1.08
	data_sharing	35.0	94.0	3.7	94.0	10.55	100.0	7.91	100.0	7.91	100.0	4.52	97.0	1.56	23.0	1.5
	diet	179.0	62.0	5.71	91.0	20.82	99.0	13.79	99.0	13.65	97.0	6.54	89.0	2.58	20.0	1.06
	digital	12.0	67.0	5.52	92.0	11.55	100.0	9.25	100.0	9.25	92.0	5.56	92.0	2.25	25.0	1.0
	exercise	279.0	70.0	3.58	89.0	8.68	99.0	6.38	99.0	6.23	97.0	3.69	85.0	1.9	25.0	1.18
	pediatric	224.0	67.0	6.14	87.0	15.02	99.0	9.59	99.0	9.51	96.0	4.6	83.0	1.79	21.0	1.25
	personalized_medicine	44.0	73.0	4.87	86.0	7.45	100.0	8.34	100.0	8.27	98.0	4.18	89.0	1.65	27.0	1.42
	prevention	144.0	71.0	5.4	86.0	27.77	97.0	10.81	97.0	10.75	95.0	5.52	83.0	2.06	22.0	1.16
	progressive	604.0	68.0	5.34	92.0	11.08	99.0	10.39	99.0	10.27	97.0	5.29	90.0	1.83	28.0	1.2
	rare	122.0	62.0	4.88	80.0	8.68	97.0	6.58	97.0	6.56	95.0	3.11	74.0	1.33	15.0	1.28
	rehab	301.0	65.0	3.91	86.0	9.48	99.0	7.51	99.0	7.39	97.0	4.29	81.0	1.97	31.0	1.34
	symptoms	265.0	64.0	4.33	89.0	9.65	98.0	6.47	98.0	6.34	98.0	3.16	85.0	1.43	19.0	1.24
	vaccines	19.0	84.0	4.64	84.0	9.25	100.0	17.16	100.0	17.16	95.0	6.86	89.0	2.81	11.0	1.0
2021 	 all	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	6556.0	64.0	5.27	93.0	13.37	99.0	3.23	99.0	3.23	17.0	3.0	5.0	4.49	11.0	2.13
	covid	444.0	66.0	4.99	97.0	33.8	99.0	9.22	99.0	9.22	12.0	10.0	8.0	8.04	16.0	2.11
	data_sharing	25.0	84.0	3.98	100.0	9.24	100.0	0.92	100.0	0.92	4.0	1.8	0.0	0.0	8.0	4.0
	diet	198.0	66.0	5.73	95.0	19.87	99.0	6.05	99.0	6.05	15.0	5.44	7.0	5.75	12.0	2.52
	digital	22.0	73.0	4.15	95.0	13.29	100.0	3.82	100.0	3.82	18.0	6.58	14.0	4.34	14.0	2.67
	exercise	255.0	69.0	3.79	98.0	8.78	100.0	2.33	100.0	2.31	20.0	3.23	5.0	5.11	9.0	1.86
	pediatric	295.0	59.0	6.14	93.0	12.35	99.0	3.0	99.0	3.0	18.0	2.66	5.0	3.34	12.0	2.61
	personalized_medicine	37.0	65.0	5.74	97.0	7.08	97.0	2.78	97.0	2.78	14.0	0.5	0.0	0.0	16.0	1.83
	prevention	189.0	72.0	5.24	93.0	10.56	99.0	2.64	99.0	2.64	13.0	3.75	5.0	4.87	12.0	1.96
	progressive	633.0	65.0	5.43	95.0	11.62	100.0	3.27	100.0	3.26	19.0	2.56	5.0	4.08	14.0	2.24
	rare	132.0	55.0	5.66	92.0	9.43	98.0	2.19	98.0	2.18	20.0	2.33	2.0	5.56	14.0	2.16
	rehab	341.0	65.0	3.82	91.0	9.14	99.0	2.07	99.0	2.06	23.0	1.99	3.0	3.95	19.0	2.38
	symptoms	270.0	59.0	4.35	92.0	13.94	98.0	2.37	98.0	2.36	23.0	2.26	4.0	3.51	9.0	2.08
	vaccines	22.0	77.0	6.14	91.0	424.15	100.0	6.5	100.0	6.5	14.0	1.66	5.0	2.39	5.0	1.0
