2009 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	pediatric	5.0	60.0	5.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	1.0
	prevention	14.0	64.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	1.0
	progressive	31.0	61.0	6.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	1.0
	rare	5.0	80.0	4.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	1.0
	rehab	9.0	56.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	1.0
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	228.0	62.0	5.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1.03
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	2.0	50.0	9.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	3.0	67.0	3.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	7.0	14.0	7.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	1.0
	prevention	10.0	60.0	4.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	1.0
	progressive	29.0	45.0	4.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	1.05
	rare	2.0	50.0	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	8.0	63.0	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0
	vaccines	1.0	100.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
2013 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	279.0	61.0	5.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	1.02
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	2.0	50.0	4.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	7.0	71.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	1.0
	pediatric	5.0	40.0	6.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	1.0
	prevention	14.0	64.0	5.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	1.0
	progressive	41.0	59.0	5.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.0
	rare	3.0	100.0	5.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	rehab	11.0	73.0	4.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	1.0
	vaccines	1.0	100.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0
2014 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	413.0	61.0	5.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	1.51
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	5.0	60.0	4.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.8
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	7.0	57.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	1.0
	pediatric	13.0	85.0	5.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	1.75
	prevention	20.0	55.0	5.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	1.32
	progressive	50.0	54.0	5.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	1.42
	rare	5.0	40.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	1.67
	rehab	31.0	65.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	2.09
	vaccines	4.0	75.0	7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	1.0
2015 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	452.0	62.0	5.25	0.0	0.0	0.0	19.0	0.0	6.0	0.0	3.34	0.0	0.86	69.0	1.68
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	4.0	50.0	11.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.75
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	10.0	70.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	1.75
	pediatric	19.0	68.0	4.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	1.93
	prevention	12.0	75.0	5.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	2.33
	progressive	66.0	58.0	5.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	1.78
	rare	10.0	50.0	5.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	2.0
	rehab	32.0	59.0	5.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	1.9
	vaccines	2.0	100.0	18.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.0
2016 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	477.0	62.0	5.45	79.0	14.9	84.0	27.34	84.0	13.89	83.0	6.52	83.0	1.82	71.0	1.76
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	7.0	57.0	6.73	57.0	121.75	57.0	60.25	57.0	39.75	57.0	12.19	57.0	3.17	29.0	1.5
	digital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	exercise	15.0	67.0	3.89	80.0	4.83	87.0	29.62	87.0	15.31	87.0	7.65	87.0	2.35	67.0	1.9
	pediatric	22.0	73.0	11.46	86.0	47.79	91.0	39.6	91.0	20.75	91.0	8.72	91.0	2.36	77.0	1.88
	prevention	10.0	40.0	6.06	100.0	14.8	100.0	37.9	100.0	20.0	100.0	8.88	100.0	2.31	80.0	2.25
	progressive	62.0	53.0	6.14	82.0	14.47	89.0	42.05	89.0	21.25	89.0	10.56	89.0	2.72	77.0	1.58
	rare	13.0	69.0	4.74	69.0	3.78	85.0	19.91	85.0	10.0	85.0	5.11	85.0	1.22	69.0	2.33
	rehab	40.0	57.0	4.42	78.0	15.58	78.0	21.68	78.0	10.74	78.0	5.07	75.0	1.52	68.0	2.15
	vaccines	1.0	100.0	9.75	100.0	42.0	100.0	29.0	100.0	15.0	100.0	4.81	100.0	1.74	100.0	2.0
2017 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	496.0	61.0	4.81	83.0	17.05	97.0	25.18	97.0	16.83	95.0	7.44	96.0	1.99	71.0	1.74
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	12.0	67.0	5.73	92.0	26.82	100.0	32.5	100.0	23.83	100.0	6.45	100.0	2.18	75.0	2.11
	digital	2.0	0.0	0.0	100.0	9.0	100.0	18.0	100.0	10.0	100.0	6.17	100.0	1.88	50.0	1.0
	exercise	12.0	92.0	3.22	75.0	5.33	100.0	20.92	100.0	16.0	100.0	7.17	100.0	2.29	58.0	1.29
	pediatric	21.0	62.0	6.11	81.0	31.53	100.0	17.43	100.0	12.62	95.0	5.14	100.0	1.28	71.0	2.6
	prevention	13.0	23.0	5.59	77.0	8.7	85.0	34.73	85.0	20.36	85.0	11.7	85.0	2.81	69.0	1.67
	progressive	58.0	60.0	5.29	90.0	46.81	100.0	46.95	100.0	29.72	100.0	15.2	97.0	3.46	62.0	2.0
	rare	11.0	91.0	7.29	91.0	9.6	91.0	11.6	91.0	8.5	91.0	4.07	91.0	0.83	36.0	1.5
	rehab	50.0	60.0	3.78	88.0	6.57	100.0	17.1	100.0	11.44	94.0	5.54	100.0	1.5	78.0	1.77
	vaccines	2.0	50.0	7.56	50.0	2.0	50.0	13.0	50.0	11.0	50.0	2.43	50.0	0.97	0.0	0.0
2018 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	496.0	64.0	5.61	85.0	15.62	99.0	22.95	99.0	19.94	97.0	8.15	97.0	2.65	70.0	1.73
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	13.0	54.0	8.52	100.0	54.92	100.0	35.31	100.0	30.15	100.0	10.07	100.0	3.72	54.0	1.86
	digital	2.0	50.0	4.34	100.0	8.5	100.0	22.5	100.0	22.0	100.0	10.68	100.0	2.76	100.0	1.5
	exercise	19.0	74.0	4.24	84.0	8.75	100.0	14.53	100.0	12.26	100.0	5.74	100.0	2.2	63.0	1.67
	pediatric	14.0	71.0	4.57	86.0	19.08	100.0	20.36	100.0	18.57	100.0	9.16	100.0	1.89	43.0	2.67
	prevention	12.0	67.0	7.66	92.0	8.45	92.0	12.0	92.0	10.73	92.0	4.48	92.0	1.35	67.0	1.63
	progressive	76.0	75.0	5.85	89.0	9.63	100.0	19.04	100.0	16.34	100.0	6.91	99.0	2.12	68.0	1.83
	rare	14.0	43.0	7.24	86.0	12.0	100.0	32.0	100.0	28.07	100.0	11.18	100.0	3.62	100.0	2.14
	rehab	47.0	70.0	4.87	89.0	23.52	100.0	21.83	100.0	19.09	100.0	9.35	100.0	2.87	79.0	2.05
	vaccines	3.0	100.0	5.23	100.0	27.33	100.0	13.33	100.0	11.33	100.0	6.13	100.0	1.53	67.0	1.0
2019 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	530.0	70.0	5.6	83.0	16.88	99.0	21.03	99.0	18.87	98.0	7.58	95.0	2.28	40.0	1.49
	covid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	diet	15.0	73.0	13.03	100.0	159.0	100.0	109.33	100.0	105.53	100.0	44.4	100.0	9.65	47.0	1.43
	digital	1.0	100.0	4.0	100.0	10.0	100.0	26.0	100.0	26.0	100.0	11.67	100.0	3.77	0.0	0.0
	exercise	20.0	70.0	4.25	85.0	5.88	100.0	11.4	100.0	10.8	100.0	5.19	100.0	1.54	40.0	1.38
	pediatric	24.0	63.0	7.13	88.0	19.33	100.0	22.21	100.0	19.92	96.0	7.37	100.0	2.11	50.0	1.42
	prevention	13.0	77.0	5.94	100.0	11.31	100.0	10.69	100.0	8.31	100.0	3.98	92.0	1.26	38.0	1.4
	progressive	78.0	60.0	5.37	91.0	17.52	100.0	19.85	100.0	17.14	99.0	7.29	99.0	2.04	44.0	1.65
	rare	11.0	91.0	4.72	91.0	5.3	100.0	13.91	100.0	11.27	100.0	5.24	100.0	1.4	45.0	1.6
	rehab	61.0	62.0	4.73	84.0	7.33	100.0	18.07	100.0	15.98	98.0	6.58	97.0	2.36	51.0	1.48
	vaccines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	745.0	67.0	5.23	89.0	14.4	100.0	12.11	100.0	12.01	97.0	6.41	89.0	2.33	34.0	1.39
	covid	41.0	71.0	4.56	93.0	18.95	100.0	30.59	100.0	30.59	93.0	18.59	98.0	5.08	22.0	1.0
	diet	18.0	39.0	5.95	94.0	28.12	100.0	34.56	100.0	34.56	100.0	17.27	94.0	6.73	33.0	1.17
	digital	4.0	100.0	5.97	100.0	22.0	100.0	12.5	100.0	12.5	75.0	9.47	75.0	2.3	50.0	1.5
	exercise	42.0	69.0	3.5	98.0	5.44	100.0	7.14	100.0	7.1	100.0	4.54	81.0	2.2	45.0	1.37
	pediatric	32.0	72.0	5.74	91.0	9.48	100.0	10.38	100.0	10.28	100.0	5.18	91.0	1.86	38.0	1.5
	prevention	15.0	47.0	4.84	80.0	67.0	93.0	18.0	93.0	18.0	93.0	9.85	93.0	3.23	20.0	1.0
	progressive	114.0	66.0	6.18	93.0	17.58	99.0	15.7	99.0	15.57	97.0	8.46	97.0	2.5	42.0	1.52
	rare	13.0	62.0	5.32	85.0	7.36	100.0	7.0	100.0	6.92	100.0	3.14	77.0	1.47	38.0	1.6
	rehab	85.0	68.0	4.45	89.0	8.13	100.0	11.59	100.0	11.47	99.0	6.54	92.0	2.53	45.0	1.63
	vaccines	1.0	100.0	4.34	100.0	3.0	100.0	8.0	100.0	8.0	100.0	2.62	100.0	1.07	0.0	0.0
2021 	 italy	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	any	769.0	61.0	5.59	95.0	13.75	100.0	5.11	100.0	5.11	20.0	4.68	8.0	5.75	27.0	1.26
	covid	76.0	75.0	4.99	97.0	25.66	100.0	13.28	100.0	13.28	14.0	17.94	14.0	10.43	24.0	1.17
	diet	22.0	77.0	7.37	100.0	35.73	100.0	29.32	100.0	29.32	32.0	10.13	23.0	8.75	45.0	1.2
	digital	3.0	100.0	5.11	100.0	15.67	100.0	12.0	100.0	12.0	33.0	13.8	33.0	6.74	33.0	1.0
	exercise	22.0	64.0	4.42	100.0	8.59	100.0	1.59	100.0	1.59	9.0	2.38	0.0	0.0	50.0	1.0
	pediatric	42.0	43.0	6.39	95.0	16.73	100.0	4.38	100.0	4.38	14.0	2.76	2.0	3.35	33.0	1.43
	prevention	24.0	58.0	5.93	96.0	11.13	96.0	5.39	96.0	5.39	13.0	11.28	13.0	5.98	33.0	1.38
	progressive	93.0	63.0	6.77	91.0	17.58	100.0	4.8	100.0	4.78	30.0	4.27	11.0	5.13	34.0	1.56
	rare	21.0	43.0	4.08	90.0	6.0	100.0	1.0	100.0	1.0	14.0	0.6	0.0	0.0	14.0	1.0
	rehab	70.0	64.0	4.8	96.0	15.21	100.0	2.54	100.0	2.54	19.0	1.51	1.0	3.86	37.0	1.15
	vaccines	1.0	100.0	6.45	100.0	1.0	100.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
